Id,Date,CalculatedDailySteps
5577150313,2016-04-11,2622
6117666160,2016-03-12,4342
6117666160,2016-03-13,6427
6117666160,2016-03-14,5962
6117666160,2016-03-15,5385
6117666160,2016-03-16,7578
6117666160,2016-03-17,4811
6117666160,2016-03-18,9189
6117666160,2016-03-19,6790
6117666160,2016-03-20,8201
6117666160,2016-03-21,7993
6117666160,2016-03-22,5727
6117666160,2016-03-23,6128
6117666160,2016-03-24,11543
6117666160,2016-03-25,11789
6117666160,2016-03-26,9595
6117666160,2016-03-27,5353
6117666160,2016-03-28,4273
6117666160,2016-03-29,7154
6117666160,2016-03-30,8548
6117666160,2016-03-31,9674
6117666160,2016-04-01,7444
6117666160,2016-04-02,19658
6117666160,2016-04-03,0
6117666160,2016-04-04,8468
6117666160,2016-04-05,9910
6117666160,2016-04-06,12409
6117666160,2016-04-07,4853
6117666160,2016-04-08,8914
6117666160,2016-04-09,10789
6290855005,2016-03-12,13071
6290855005,2016-03-13,6244
6290855005,2016-03-14,0
6290855005,2016-03-15,0
6290855005,2016-03-16,8914
6290855005,2016-03-17,5674
6290855005,2016-03-18,6071
6290855005,2016-03-19,6012
6290855005,2016-03-20,7815
6290855005,2016-03-21,4827
6290855005,2016-03-22,5750
6290855005,2016-03-23,2050
6290855005,2016-03-24,5591
6290855005,2016-03-25,0
6290855005,2016-03-26,0
6290855005,2016-03-27,7672
6290855005,2016-03-28,8654
6290855005,2016-03-29,3989
6290855005,2016-03-30,6462
6290855005,2016-03-31,0
6290855005,2016-04-01,6633
6290855005,2016-04-02,9491
6391747486,2016-03-12,0
6391747486,2016-03-13,0
6391747486,2016-03-14,0
6391747486,2016-03-15,0
6391747486,2016-03-16,0
6391747486,2016-03-17,0
6391747486,2016-03-18,0
6391747486,2016-03-19,0
6391747486,2016-03-20,0
6391747486,2016-03-21,0
6391747486,2016-03-22,0
6391747486,2016-03-23,0
6391747486,2016-03-24,0
6391747486,2016-03-25,0
6391747486,2016-03-26,0
6391747486,2016-03-27,0
6391747486,2016-03-28,0
6391747486,2016-03-29,0
6391747486,2016-03-30,0
6391747486,2016-03-31,0
6391747486,2016-04-01,0
6391747486,2016-04-02,2101
